City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
beyneu,45.3167,55.2,81.55,16,2,26.44,KZ,1663149709
coquimbo,-29.9533,-71.3436,53.42,70,0,5.77,CL,1663149709
east london,-33.0153,27.9116,72.54,53,0,13.8,ZA,1663149493
mount isa,-20.7333,139.5,76.77,23,0,3.44,AU,1663149710
aubenas,44.6201,4.3899,72.16,77,100,5.06,FR,1663149711
naze,28.3667,129.4833,80.42,84,23,17.56,JP,1663149712
port elizabeth,-33.918,25.5701,73.71,41,0,9.22,ZA,1663149713
thompson,55.7435,-97.8558,36.7,81,35,2.59,CA,1663149713
inverness,57.4791,-4.224,60.8,69,75,8.05,GB,1663149714
fairbanks,64.8378,-147.7164,52.61,93,100,1.81,US,1663149530
port alfred,-33.5906,26.891,70.18,74,0,8.01,ZA,1663149715
souillac,-20.5167,57.5167,74.88,61,100,12.59,MU,1663149716
beisfjord,68.3751,17.5988,48.25,93,100,8.12,NO,1663149717
punta arenas,-53.15,-70.9167,30.11,86,10,10.49,CL,1663149718
celldomolk,47.2571,17.1503,72.95,53,100,4.72,HU,1663149719
paciran,-6.8767,112.3761,83.61,68,10,10.38,ID,1663149720
taoudenni,22.6783,-3.9836,104.67,6,1,5.37,ML,1663149720
tiksi,71.6872,128.8694,37.22,97,100,9.35,RU,1663149727
limon,10.0,-83.0333,75.06,85,100,7.27,CR,1663149728
teknaf,20.8624,92.3058,79.02,88,100,11.68,BD,1663149729
narsaq,60.9167,-46.05,46.47,54,38,5.7,GL,1663149489
jumla,29.2747,82.1838,67.08,85,99,4.38,NP,1663149730
hermanus,-34.4187,19.2345,69.57,46,0,5.99,ZA,1663149537
rawson,-43.3002,-65.1023,52.95,54,60,10.27,AR,1663149731
pouebo,-20.4,164.5667,71.89,83,16,3.42,NC,1663149732
atuona,-9.8,-139.0333,76.1,76,10,15.26,PF,1663149733
calama,-22.4667,-68.9333,41.61,18,0,8.66,CL,1663149733
san andres,12.5847,-81.7006,82.42,83,40,6.91,CO,1663149526
vilcun,-38.65,-72.2333,40.46,95,43,2.53,CL,1663149734
talnakh,69.4865,88.3972,39.02,91,100,12.86,RU,1663149735
kahului,20.8947,-156.47,78.84,86,10,5.99,US,1663149737
fresnillo,23.1667,-102.8833,54.12,79,24,4.21,MX,1663149737
chuy,-33.6971,-53.4616,49.23,97,14,7.09,UY,1663149738
tautira,-17.7333,-149.15,77.47,70,91,19.42,PF,1663149738
thunder bay,48.4001,-89.3168,43.7,82,4,4.99,CA,1663149738
vaini,-21.2,-175.2,75.36,88,20,4.61,TO,1663149739
tuatapere,-46.1333,167.6833,40.73,88,29,5.68,NZ,1663149740
meulaboh,4.1363,96.1285,82.06,71,98,5.64,ID,1663149740
airai,-8.9266,125.4092,63.12,74,97,3.04,TL,1663149742
nisia floresta,-6.0911,-35.2086,76.01,81,31,10.16,BR,1663149742
carutapera,-1.195,-46.02,79.14,80,38,8.23,BR,1663149743
caruray,10.3094,119.0128,81.46,83,100,9.66,PH,1663149744
kotelnich,58.3089,48.348,56.5,59,100,11.86,RU,1663149745
port-gentil,-0.7193,8.7815,82.36,69,40,14.97,GA,1663149745
shahrud,36.4182,54.9763,89.82,11,0,9.89,IR,1663149746
curanilahue,-37.4667,-73.35,42.6,87,52,2.77,CL,1663149746
newport,51.5877,-2.9984,66.52,76,67,8.16,GB,1663149747
devils lake,48.1128,-98.8651,48.94,80,67,7.0,US,1663149748
lebu,-37.6167,-73.65,46.6,82,65,5.57,CL,1663149748
hearst,49.6835,-83.6665,43.41,92,87,4.47,CA,1663149749
berlevag,70.8578,29.0864,44.6,62,100,8.39,NO,1663149749
vila franca do campo,37.7167,-25.4333,79.2,85,14,8.9,PT,1663149751
lavrentiya,65.5833,-171.0,44.71,94,100,2.39,RU,1663149752
iisalmi,63.5592,27.1907,55.56,76,99,12.01,FI,1663149753
siocon,7.7061,122.1353,80.29,84,94,6.96,PH,1663149754
butaritari,3.0707,172.7902,80.76,79,32,11.34,KI,1663149525
yerofey pavlovich,53.9667,121.9667,50.99,72,99,3.38,RU,1663149754
komsomolskiy,40.4272,71.7189,83.12,23,0,6.91,UZ,1663149754
avarua,-21.2078,-159.775,73.45,83,20,10.36,CK,1663149755
new norfolk,-42.7826,147.0587,51.3,52,0,1.99,AU,1663149755
ribeira grande,38.5167,-28.7,75.6,94,75,11.5,PT,1663149523
khandyga,62.6667,135.6,43.65,97,100,10.54,RU,1663149756
tuktoyaktuk,69.4541,-133.0374,34.72,77,99,19.75,CA,1663149756
saint-augustin,51.226,-58.6502,55.53,88,100,6.13,CA,1663149757
avera,33.194,-82.5271,57.9,58,2,5.08,US,1663149757
odweyne,9.4092,45.064,86.97,36,83,19.86,SO,1663149758
ilulissat,69.2167,-51.1,46.42,81,75,13.8,GL,1663149759
broken hill,-31.95,141.4333,63.64,52,77,17.11,AU,1663149587
hibbing,47.4272,-92.9377,53.11,94,100,5.75,US,1663149760
la ronge,55.1001,-105.2842,53.85,62,75,8.05,CA,1663149518
lumberton,34.6182,-79.0086,66.06,82,0,3.44,US,1663149761
sassandra,4.95,-6.0833,77.31,83,97,5.79,CI,1663149762
buala,-8.145,159.5921,80.31,79,44,5.28,SB,1663149762
yellowknife,62.456,-114.3525,42.57,86,59,3.0,CA,1663149763
baoding,38.8511,115.4903,77.49,58,6,8.55,CN,1663149763
oktyabrskiy,54.4815,53.471,67.08,33,100,16.28,RU,1663149764
saint anthony,45.0205,-93.218,58.24,92,0,3.44,US,1663149764
castro,-24.7911,-50.0119,59.07,98,100,3.15,BR,1663149765
port hedland,-20.3167,118.5667,78.85,53,0,16.11,AU,1663149654
dikson,73.5069,80.5464,38.98,71,63,17.31,RU,1663149766
ugoofaaru,5.6667,73.0,81.37,73,67,4.79,MV,1663149605
vila velha,-20.3297,-40.2925,71.94,81,12,11.3,BR,1663149768
cape town,-33.9258,18.4232,83.12,35,0,4.0,ZA,1663149718
aitape,-3.1374,142.3475,80.13,81,51,8.81,PG,1663149769
aripuana,-9.1667,-60.6333,71.96,85,47,2.73,BR,1663149770
caiaponia,-16.9567,-51.8103,75.9,30,78,0.94,BR,1663149770
dossor,47.5272,52.9811,80.11,17,95,24.29,KZ,1663149771
shaunavon,49.6501,-108.4181,56.16,37,100,10.22,CA,1663149772
qena,26.1615,32.7183,99.21,14,0,10.29,EG,1663149772
cidreira,-30.1811,-50.2056,56.93,95,77,8.63,BR,1663149772
itanhem,-17.1664,-40.33,68.47,72,0,4.29,BR,1663149773
plover,44.4564,-89.544,57.31,80,100,11.01,US,1663149773
deputatskiy,69.3,139.9,34.77,72,100,1.48,RU,1663149774
bonthe,7.5264,-12.505,77.7,86,100,10.92,SL,1663149775
arauca,7.0847,-70.7591,70.18,98,91,3.58,CO,1663149776
raton,36.9034,-104.4391,59.34,76,0,5.75,US,1663149776
samfya,-11.3649,29.5565,82.54,27,58,8.52,ZM,1663149777
pisz,53.6274,21.8125,64.02,55,24,11.99,PL,1663149777
cap-aux-meules,47.3821,-61.8597,67.23,89,87,17.76,CA,1663149777
villarrobledo,39.2699,-2.6012,67.86,57,8,14.65,ES,1663149778
jacareacanga,-6.2222,-57.7528,70.7,91,47,0.94,BR,1663149779
namatanai,-3.6667,152.4333,81.07,77,72,11.36,PG,1663149779
bambous virieux,-20.3428,57.7575,78.22,65,99,10.96,MU,1663149780
manado,1.487,124.8455,83.17,78,20,2.3,ID,1663149650
whitehorse,60.7161,-135.0538,51.31,66,100,15.01,CA,1663149781
pangody,65.85,74.4859,49.62,74,97,9.95,RU,1663149781
constantine,36.365,6.6147,97.27,19,25,11.7,DZ,1663149782
mudgee,-32.5943,149.5871,53.78,70,85,6.93,AU,1663149783
nuuk,64.1835,-51.7216,42.87,82,100,15.14,GL,1663149562
soria,41.6667,-2.6667,69.12,72,42,11.3,ES,1663149784
vardo,70.3705,31.1107,45.37,62,100,8.37,NO,1663149785
nome,64.5011,-165.4064,46.17,97,31,4.18,US,1663149786
jinchang,38.4953,102.1739,80.44,28,9,14.79,CN,1663149787
seredka,58.1584,28.1858,55.15,63,100,11.03,RU,1663149787
norman wells,65.282,-126.8329,45.12,82,97,4.41,CA,1663149788
aba,5.1066,7.3667,82.24,73,94,2.15,NG,1663149788
sao joao da barra,-21.6403,-41.0511,68.09,76,8,5.48,BR,1663149788
starosubkhangulovo,53.1031,57.4423,63.88,42,100,7.94,RU,1663149789
kiruna,67.8557,20.2251,38.32,100,100,8.05,SE,1663149789
paamiut,61.994,-49.6678,42.89,76,100,4.61,GL,1663149790
riachao das neves,-11.7461,-44.91,74.14,42,4,3.56,BR,1663149790
nanyuki,0.0167,37.0728,71.2,54,74,2.59,KE,1663149791
chokurdakh,70.6333,147.9167,39.65,65,100,8.1,RU,1663149792
new gloucester,43.9628,-70.2825,63.66,89,20,4.61,US,1663149792
ostersund,63.1792,14.6357,51.62,100,100,4.61,SE,1663149793
half moon bay,37.4636,-122.4286,62.82,90,100,5.75,US,1663149538
turukhansk,65.8167,87.9833,42.62,91,100,3.09,RU,1663149793
torbay,47.6666,-52.7314,55.58,95,100,12.66,CA,1663149794
batagay-alyta,67.8006,130.4114,35.4,99,100,3.65,RU,1663149794
atar,20.5169,-13.0499,91.45,27,74,13.8,MR,1663149536
gushikawa,26.3544,127.8686,85.62,79,75,4.61,JP,1663149796
emba,48.8264,58.1442,72.66,19,53,20.0,KZ,1663149796
aksu,41.1231,80.2644,84.69,18,0,5.35,CN,1663149797
pevek,69.7008,170.3133,33.94,99,100,7.23,RU,1663149798
grand gaube,-20.0064,57.6608,78.39,49,89,11.99,MU,1663149798
ossora,59.2353,163.0719,42.37,74,39,6.82,RU,1663149800
conde,-7.2597,-34.9075,73.96,85,96,8.21,BR,1663149801
beberibe,-4.1797,-38.1306,78.04,76,59,12.82,BR,1663149802
maceio,-9.6658,-35.7353,72.84,100,40,3.44,BR,1663149803
klaksvik,62.2266,-6.589,49.12,87,81,22.88,FO,1663149803
gberia fotombu,9.8833,-11.1667,73.74,89,100,4.83,SL,1663149804
pangnirtung,66.1451,-65.7125,40.6,99,100,7.09,CA,1663149805
bardejov,49.2918,21.2727,67.28,57,100,8.28,SK,1663149805
mogzon,51.7435,111.9606,45.95,91,100,5.79,RU,1663149806
mar del plata,-38.0023,-57.5575,47.08,96,75,1.99,AR,1663149806
ulladulla,-35.35,150.4667,51.98,82,7,8.23,AU,1663149666
dingle,10.9995,122.6711,79.63,85,78,9.42,PH,1663149807
ostrovnoy,68.0531,39.5131,55.22,78,100,19.51,RU,1663149808
karpogory,64.0019,44.4451,60.51,48,11,9.82,RU,1663149808
iqaluit,63.7506,-68.5145,40.69,86,100,5.48,CA,1663149771
touros,-5.1989,-35.4608,77.97,79,40,13.27,BR,1663149810
san carlos de bariloche,-41.1456,-71.3082,45.01,71,100,7.23,AR,1663149738
port hardy,50.6996,-127.4199,51.15,90,1,1.19,CA,1663149811
mandasta,13.7328,-86.902,65.48,95,96,3.85,HN,1663149811
leningradskiy,69.3833,178.4167,34.84,99,100,6.53,RU,1663149812
nalut,30.3333,10.85,92.28,19,0,8.84,LY,1663149813
wageningen,51.9667,5.6667,62.1,86,100,4.61,NL,1663149813
saint george,37.1041,-113.5841,63.63,89,100,8.05,US,1663149657
smithers,54.7804,-127.1743,37.72,100,20,0.0,CA,1663149814
jiaocheng,24.6774,116.1389,82.74,53,8,4.16,CN,1663149815
sinjai,-5.1241,120.253,78.15,81,72,5.48,ID,1663149817
maniitsoq,65.4167,-52.9,41.32,95,100,16.24,GL,1663149817
praya,14.9215,-23.5087,80.47,81,71,7.7,CV,1663149818
purpe,64.4803,76.6897,50.2,78,99,11.86,RU,1663149818
erenhot,43.6475,111.9767,81.9,20,31,5.73,CN,1663149819
severo-kurilsk,50.6789,156.125,50.88,86,32,12.82,RU,1663149820
tongliao,43.6125,122.2653,64.98,46,100,6.33,CN,1663149821
mangai,-4.05,19.5333,91.18,46,98,3.2,CD,1663149822
arraial do cabo,-22.9661,-42.0278,68.43,94,81,17.56,BR,1663149822
quatre cocos,-20.2078,57.7625,78.1,63,98,12.19,MU,1663149823
venado tuerto,-33.7456,-61.9688,45.77,58,16,3.94,AR,1663149823
mancio lima,-7.6142,-72.8958,73.67,78,34,2.84,BR,1663149823
tigil,57.8,158.6667,38.12,86,57,2.21,RU,1663149824
verkhnyaya inta,65.9811,60.3094,50.02,82,100,14.03,RU,1663149824
korla,41.7597,86.1469,84.09,15,0,16.2,CN,1663149825
muisne,0.6,-80.0333,72.3,87,100,9.51,EC,1663149826
san patricio,28.017,-97.5169,82.83,75,3,5.64,US,1663149827
elizabeth city,36.2946,-76.2511,64.99,90,78,5.88,US,1663149827
kaitangata,-46.2817,169.8464,40.23,90,13,6.69,NZ,1663149828
mahebourg,-20.4081,57.7,78.26,65,98,10.33,MU,1663149829
wattegama,6.7989,81.4808,91.53,47,91,13.18,LK,1663149829
mount gambier,-37.8333,140.7667,51.71,93,100,21.85,AU,1663149566
victoria,22.2855,114.1577,96.19,63,44,4.0,HK,1663149693
obo,5.3998,26.4869,76.33,89,100,4.18,CF,1663149830
vultureni,46.3667,27.2833,72.37,32,84,7.72,RO,1663149830
vila,42.0304,-8.1588,58.08,95,100,4.88,PT,1663149831
roald,62.5833,6.1333,55.17,76,75,8.05,NO,1663149831
shieli,44.1667,66.75,81.16,15,1,22.68,KZ,1663149832
bunbury,-33.3333,115.6333,56.7,69,62,20.69,AU,1663149628
yarada,17.65,83.2667,86.65,70,90,17.16,IN,1663149833
comonfort,20.7167,-100.7667,56.28,87,94,5.14,MX,1663149834
huarmey,-10.0681,-78.1522,59.65,87,76,7.85,PE,1663149835
nizwa,22.9333,57.5333,103.15,18,24,9.69,OM,1663149835
usinsk,65.9939,57.5281,56.01,67,90,15.28,RU,1663149836
beringovskiy,63.05,179.3167,43.12,85,100,3.78,RU,1663149837
playas,-2.6333,-80.3833,67.6,83,100,6.22,EC,1663149838
viedma,-40.8135,-62.9967,45.45,74,49,12.21,AR,1663149838
cangzhou,38.3167,116.8667,73.78,78,44,11.52,CN,1663149839
san antonio,29.4241,-98.4936,74.05,84,0,3.44,US,1663149840
saskylakh,71.9167,114.0833,37.0,67,100,6.44,RU,1663149841
cradock,-32.1642,25.6192,78.19,24,0,17.07,ZA,1663149843
aquiraz,-3.9014,-38.3911,77.18,82,58,11.65,BR,1663149844
cherskiy,68.75,161.3,36.55,90,100,4.61,RU,1663149846
faya,18.3851,42.4509,86.52,20,25,6.91,SA,1663149846
kuytun,54.3419,101.5036,47.07,67,100,3.94,RU,1663149847
alekseyevskoye,55.3071,50.1135,62.1,58,100,16.53,RU,1663149848
lere,10.387,8.5726,76.1,79,95,1.57,NG,1663149849
upernavik,72.7868,-56.1549,42.21,76,100,7.96,GL,1663149849
da lat,11.9465,108.4419,66.09,96,100,2.3,VN,1663149718
flin flon,54.7682,-101.865,43.74,79,88,5.5,CA,1663149851
riviere-au-renard,48.9957,-64.3971,62.24,98,99,8.79,CA,1663149852
aykhal,66.0,111.5,37.35,95,100,24.96,RU,1663149852
fare,-16.7,-151.0167,78.31,71,97,21.85,PF,1663149852
barcelos,41.5388,-8.6151,67.84,83,99,12.19,PT,1663149853
port macquarie,-31.4333,152.9167,53.89,69,54,7.36,AU,1663149853
kefamenanu,-9.4467,124.4781,74.53,73,51,5.91,ID,1663149854
hami,42.8,93.45,84.09,13,0,9.15,CN,1663149856
bengkulu,-3.8004,102.2655,81.61,75,82,7.54,ID,1663149856
college,64.8569,-147.8028,52.59,92,100,0.0,US,1663149857
saint-philippe,-21.3585,55.7679,76.59,73,90,9.6,RE,1663149857
pangoa,-12.1167,-73.0,67.8,98,100,2.93,PE,1663149858
fortuna,40.5982,-124.1573,53.65,91,95,3.69,US,1663149859
eirunepe,-6.6603,-69.8736,72.81,90,42,1.54,BR,1663149860
esperance,-33.8667,121.9,58.84,73,22,30.65,AU,1663149692
red bluff,40.1785,-122.2358,66.88,67,0,9.22,US,1663149860
katsuura,35.1333,140.3,76.69,80,76,18.48,JP,1663149861
fort smith,35.3859,-94.3986,63.34,81,0,3.0,US,1663149567
tasiilaq,65.6145,-37.6368,35.76,75,3,6.87,GL,1663149862
sao bras de alportel,37.1531,-7.8875,68.68,83,20,8.05,PT,1663149863
verkhoyansk,67.5447,133.385,41.49,94,100,3.0,RU,1663149608
viadana,44.9333,10.5333,81.23,62,100,3.71,IT,1663149865
kenai,60.5544,-151.2583,48.09,98,100,5.75,US,1663149865
anton lizardo,19.05,-95.9833,76.21,83,97,7.56,MX,1663149867
kavaratti,10.5669,72.642,81.39,78,28,12.91,IN,1663149867
pospelikha,51.95,81.7667,59.34,27,100,15.77,RU,1663149867
sale,34.0389,-6.8166,75.88,73,40,8.05,MA,1663149868
tezu,27.9167,96.1667,84.15,79,89,2.66,IN,1663149868
solnechnyy,50.7214,136.6319,53.65,85,100,4.36,RU,1663149868
los llanos de aridane,28.6585,-17.9182,73.15,88,75,4.61,ES,1663149869
rio gallegos,-51.6226,-69.2181,26.65,93,0,4.61,AR,1663149869
srednekolymsk,67.45,153.6833,38.79,70,16,8.05,RU,1663149870
xining,36.6167,101.7667,72.77,42,25,9.66,CN,1663149871
greenville,35.6127,-77.3663,65.12,87,0,1.99,US,1663149872
hamilton,39.1834,-84.5333,61.25,95,20,0.0,US,1663149623
kruisfontein,-34.0033,24.7314,80.56,20,0,11.07,ZA,1663149873
launceston,-41.45,147.1667,46.04,65,40,5.75,AU,1663149668
puerto varas,-41.3195,-72.9854,52.02,76,100,19.57,CL,1663149874
shubarkuduk,49.1447,56.4872,73.96,17,28,23.22,KZ,1663149874
mindelo,16.8901,-24.9804,78.94,86,78,11.7,CV,1663149875
tashtagol,52.7657,87.8894,52.03,79,89,3.4,RU,1663149875
winnemucca,40.973,-117.7357,48.25,93,0,4.61,US,1663149876
allapalli,19.4167,80.0667,84.51,77,65,7.58,IN,1663149876
skagen,57.7209,10.5839,58.91,66,1,27.78,DK,1663149876
zavodoukovsk,56.5042,66.5515,61.7,38,80,9.1,RU,1663149876
velyka pysarivka,50.4259,35.485,51.28,89,100,6.24,UA,1663149877
nanortalik,60.1432,-45.2371,44.29,77,4,4.99,GL,1663149877
kasese,0.1833,30.0833,80.92,63,92,3.53,UG,1663149877
okoneshnikovo,54.8377,75.0834,57.18,40,98,6.91,RU,1663149878
kisangani,0.5167,25.2,73.49,90,100,2.04,CD,1663149879
taltal,-25.4,-70.4833,55.53,50,0,4.41,CL,1663149879
pundaguitan,6.3711,126.1689,84.72,72,59,15.64,PH,1663149880
lumeje,-11.55,20.7833,91.65,15,57,10.98,AO,1663149880
moyale,3.5167,39.0584,79.97,39,80,16.75,KE,1663149881
belyy yar,53.6039,91.3903,51.85,65,75,6.71,RU,1663149881
gamba,-2.65,10.0,78.71,71,90,9.26,GA,1663149882
benito juarez,19.385,-99.165,60.94,75,75,8.05,MX,1663149884
mitsamiouli,-11.3847,43.2844,78.33,65,45,4.52,KM,1663149884
ahuimanu,21.4447,-157.8378,77.86,79,10,12.19,US,1663149615
bereda,43.2686,-7.5406,74.41,79,97,4.92,ES,1663149885
portland,45.5234,-122.6762,63.81,79,62,1.7,US,1663149716
bonao,18.9369,-70.4092,70.12,91,86,3.18,DO,1663149885
llangefni,53.2556,-4.3106,58.86,82,75,13.8,GB,1663149886
pitimbu,-7.4706,-34.8086,73.99,82,89,7.72,BR,1663149886
leshukonskoye,64.8989,45.7622,59.65,51,76,9.37,RU,1663149887
bang saphan,11.2126,99.5117,80.56,79,100,9.26,TH,1663149632
daru,-9.0763,143.2092,79.52,88,14,15.75,PG,1663149887
black river,18.0264,-77.8487,77.4,86,86,4.72,JM,1663149888
salamanca,40.8333,-6.0,65.98,85,100,12.53,ES,1663149889
camocim,-2.9022,-40.8411,78.28,78,31,13.51,BR,1663149890
takoradi,4.8845,-1.7554,77.43,81,95,4.27,GH,1663149890
rabo de peixe,37.8,-25.5833,78.28,86,75,10.36,PT,1663149890
alamogordo,32.8995,-105.9603,64.0,86,0,5.75,US,1663149708
codrington,-38.2667,141.9667,54.59,90,100,17.74,AU,1663149891
olafsvik,64.8945,-23.7142,45.99,70,99,5.32,IS,1663149892
vestmannaeyjar,63.4427,-20.2734,47.39,81,0,10.36,IS,1663149778
luan,46.3592,6.9759,63.86,78,100,1.99,CH,1663149892
waitati,-45.75,170.5667,41.81,75,9,4.16,NZ,1663149671
ambon,-3.6954,128.1814,81.23,13,40,3.44,ID,1663149810
longyearbyen,78.2186,15.6401,35.44,80,75,0.0,SJ,1663149893
comodoro rivadavia,-45.8667,-67.5,55.26,50,0,4.61,AR,1663149894
saint-georges,12.0564,-61.7485,80.1,80,82,12.12,GD,1663149723
arti,56.4234,58.5328,63.68,38,99,7.36,RU,1663149894
hargeysa,9.56,44.065,85.37,35,86,21.59,SO,1663149897
mayo,38.8876,-76.5119,64.35,90,0,5.75,US,1663149897
flagstaff,35.1981,-111.6513,53.4,95,75,0.0,US,1663149674
sur,22.5667,59.5289,98.1,41,28,5.66,OM,1663149897
pacifica,37.6138,-122.4869,62.64,94,75,14.97,US,1663149897
chancay,-11.5714,-77.2672,58.82,86,95,3.89,PE,1663149898
challans,46.8436,-1.8749,73.96,65,95,4.25,FR,1663149623
yar-sale,66.8333,70.8333,52.79,58,81,13.67,RU,1663149899
vallenar,-28.5708,-70.7581,54.43,43,0,4.38,CL,1663149899
stephenville,32.2207,-98.2023,70.59,75,0,3.44,US,1663149900
iskateley,67.6803,53.1512,54.9,76,100,16.11,RU,1663149902
lagos,6.5833,3.75,84.51,65,63,5.21,NG,1663149902
caravelas,-17.7125,-39.2481,71.26,76,0,8.84,BR,1663149903
kamaishi,39.2667,141.8833,63.0,79,16,7.78,JP,1663149903
chateaubelair,13.2833,-61.25,79.56,72,87,10.29,VC,1663149904
araguaina,-7.1911,-48.2072,76.91,43,5,2.04,BR,1663149905
birao,10.2849,22.7882,83.12,66,91,5.68,CF,1663149906
chubbuck,42.9208,-112.4661,57.45,90,100,3.44,US,1663149906
ust-maya,60.4167,134.5333,38.34,97,100,14.47,RU,1663149906
bubaque,11.2833,-15.8333,76.95,91,100,18.16,GW,1663149907
plettenberg bay,-34.0527,23.3716,73.9,41,0,3.33,ZA,1663149907
huancavelica,-12.7667,-74.9833,40.26,85,99,4.32,PE,1663149907
igarka,67.4667,86.5833,42.75,64,100,7.36,RU,1663149908
haines junction,60.7522,-137.5108,42.12,98,100,4.09,CA,1663149909
provideniya,64.3833,-173.3,46.08,95,100,2.57,RU,1663149909
ust-omchug,61.15,149.6333,37.17,60,100,4.25,RU,1663149910
lumphat,13.4878,106.9816,79.36,93,99,2.75,KH,1663149910
keti bandar,24.1447,67.4497,88.34,66,49,16.71,PK,1663149911
sumbawanga,-7.9667,31.6167,78.42,29,74,5.82,TZ,1663149911
kieta,-6.2167,155.6333,78.53,85,30,4.94,PG,1663149912
alihe,50.5667,123.7167,59.86,73,100,2.64,CN,1663149913
egvekinot,66.3167,-179.1667,34.5,98,100,6.51,RU,1663149913
terrak,65.087,12.3715,57.07,88,100,5.53,NO,1663149914
ixtapa,20.7,-105.2,78.22,83,100,0.0,MX,1663149914
tallahassee,30.4383,-84.2807,66.99,87,8,4.85,US,1663149912
cabo san lucas,22.8909,-109.9124,82.51,75,51,8.99,MX,1663149915
svetlogorsk,52.6333,29.7333,62.6,52,39,8.66,BY,1663149915
japura,-0.3167,102.35,74.48,92,100,3.29,ID,1663149702
